title,author_name,image_url,num_pages,average_rating,text_reviews_count,description,5_star_rating_counts,4_star_rating_counts,3_star_rating_counts,2_star_rating_counts,1_star_rating_counts,total_rating_counts
Harry Potter and the Order of the Phoenix Harry Potter 5,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SX98_.jpg,870,4.5,44716,There is a door at the end of a silent corridor And it’s haunting Harry Pottter’s dreams Why else would he be waking in the middle of the night screaming in terrorHarry has a lot on his mind for this his fifth year at Hogwarts a Defense Against the Dark Arts teacher with a personality like poisoned honey a big surprise on the Gryffindor Quidditch team and the looming terror of the Ordinary Wizarding Level exams But all these things pale next to the growing threat of HeWhoMustNotBeNamed a threat that neither the magical government nor the authorities at Hogwarts can stopAs the grasp of darkness tightens Harry must discover the true depth and strength of his friends the importance of boundless loyalty and the shocking price of unbearable sacrificeHis fate depends on them all,1674064,664833,231195,41699,16215,2628006
Harry Potter and the Sorcerers Stone Harry Potter 1,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SX98_.jpg,309,4.48,116930,Harry Potters life is miserable His parents are dead and hes stuck with his heartless relatives who force him to live in a tiny closet under the stairs But his fortune changes when he receives a letter that tells him the truth about himself hes a wizard A mysterious visitor rescues him from his relatives and takes him to his new home Hogwarts School of Witchcraft and WizardryAfter a lifetime of bottling up his magical powers Harry finally feels like a normal kid But even within the Wizarding community he is special He is the boy who lived the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort who launched a brutal takeover of the Wizarding world only to vanish after failing to kill HarryThough Harrys first year at Hogwarts is the best of his life not everything is perfect There is a dangerous secret object hidden within the castle walls and Harry believes its his responsibility to prevent it from falling into evil hands But doing so will bring him into contact with forces more terrifying than he ever could have imaginedFull of sympathetic characters wildly imaginative situations and countless exciting details the first installment in the series assembles an unforgettable magical world and sets the stage for many highstakes adventures to come,4801606,1681521,623286,145898,125040,7377351
Harry Potter and the Chamber of Secrets Harry Potter 2,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154604l/4._SX98_.jpg,352,4.43,55286,The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry But just as hes packing his bags Harry receives a warning from a strange impish creature named Dobby who says that if Harry Potter returns to Hogwarts disaster will strikeAnd strike it does For in Harrys second year at Hogwarts fresh torments and horrors arise including an outrageously stuckup new professor Gilderoy Lockhart a spirit named Moaning Myrtle who haunts the girls bathroom and the unwanted attentions of Ron Weasleys younger sister Ginny But each of these seem minor annoyances when the real trouble begins and someone or something starts turning Hogwarts students to stone Could it be Draco Malfoy a more poisonous rival than ever Could it possibly be Hagrid whose mysterious past is finally told Or could it be the one everyone at Hogwarts most suspects Harry Potter himself,1690166,781011,313727,54687,15453,2855044
Harry Potter and the Prisoner of Azkaban Harry Potter 3,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5._SY160_.jpg,435,4.57,58023,For twelve long years the dread fortress of Azkaban held an infamous prisoner named Sirius Black Convicted of killing thirteen people with a single curse he was said to be the heir apparent to the Dark Lord VoldemortNow he has escaped leaving only two clues as to where he might be headed Harry Potters defeat of YouKnowWho was Blacks downfall as well And the Azkaban guards heard Black muttering in his sleep Hes at Hogwarts hes at HogwartsHarry Potter isnt safe not even within the walls of his magical school surrounded by his friends Because on top of it all there may well be a traitor in their midst,1994597,696545,212678,28915,13959,2946694
Harry Potter and the Goblet of Fire Harry Potter 4,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6._SX98_.jpg,734,4.5600000000000005,48637,Harry Potter is midway through his training as a wizard and his coming of age Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione Ron and the Weasleys He wants to dream about Cho Chang his crush and maybe do more than dream He wants to find out about the mysterious event thats supposed to take place at Hogwarts this year an event involving two other rival schools of magic and a competition that hasnt happened for hundreds of years He wants to be a normal fourteenyearold wizard But unfortunately for Harry Potter hes not normal even by wizarding standardsAnd in his case different can be deadly,1808039,663849,193604,27759,12425,2705676
The Harry Potter Collection Harry Potter 16,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866031l/7._SX98_.jpg,0,4.73,975,Six years of magic adventure and mystery make this paperback collection the perfect gift for Harry Potter fans of all agesFollow Harry from his first days at Hogwarts School for Witchcraft and Wizardry through his many adventures with Hermione and Ron to his confrontations with rival Draco Malfoy and the dreaded Professor Snape From a dangerous descent into the Chamber of Secrets to the Triwizard Tournament to the return of HeWhoMustNotBeNamed each adventure is more riveting and exhilarating than its predecessor and now all six books are available together for the first time in a,25063,4467,1103,227,282,31142
Harry Potter Boxed Set Books 15 Harry Potter 15,J.K. Rowling,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2690,4.79,183,Box Set containing Harry Potter and the Sorcerers Stone Harry Potter and the Chamber Of Secrets Harry Potter and the Prisoner of Azkaban Harry Potter and the Goblet Of Fire and Harry Potter and the Order of the Phoenix,49438,6112,1525,354,534,57963
Harry Potter Collection Harry Potter 16,J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328867351l/10._SX98_.jpg,3342,4.73,975,Six years of magic adventure and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry through his many adventures with Hermione and Ron to his confrontations with rival Draco Malfoy and the dreaded Professor Snape From the thrilling search for the Sorcerers Stone to the Triwizard Tournament to the return of HeWhoMustNotBeNamed each adventure is more riveting and exhilarating than its predecessor and now all six books are available together for the first time in an elegant hardcover boxed set,25063,4467,1103,227,282,31142
The Hitchhikers Guide to the Galaxy Hitchhikers Guide to the Galaxy 1,Douglas Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848l/11._SY160_.jpg,216,4.22,31417,Seconds before the Earth is demolished to make way for a galactic freeway Arthur Dent is plucked off the planet by his friend Ford Prefect a researcher for the revised edition of The Hitchhikers Guide to the Galaxy who for the last fifteen years has been posing as an outofwork actorTogether this dynamic pair begin a journey through space aided by quotes from The Hitchhikers Guide A towel is about the most massively useful thing an interstellar hitchhiker can have and a galaxyfull of fellow travelers Zaphod Beeblebrox—the twoheaded threearmed exhippie and totally outtolunch president of the galaxy Trillian Zaphods girlfriend formally Tricia McMillan whom Arthur tried to pick up at a cocktail party once upon a time zone Marvin a paranoid brilliant and chronically depressed robot Veet Voojagig a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years,753962,436665,206876,60681,32955,1491139
The Ultimate Hitchhikers Guide Five Complete Novels and One Story Hitchhikers Guide to the Galaxy 15,Douglas Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404658218l/12._SX98_.jpg,815,4.36,5429,At last in paperback in one complete volume here are the five novels from Douglas Adamss Hitchhiker series The Hitchhikers Guide to the GalaxySeconds before the Earth is demolished for a galactic freeway Arthur Dent is saved by Ford Prefect a researcher for the revised Guide Together they stick out their thumbs to the stars and begin a wild journey through time and spaceThe Restaurant at the End of the UniverseFacing annihilation at the hands of warmongers is a curious time to crave tea It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eatLife the Universe and EverythingThe unhappy inhabitants of planet Krikkit are sick of looking at the night sky so they plan to destroy it The universe that is Now only five individuals can avert Armageddon mildmannered Arthur Dent and his stalwart crewSo Long and Thanks for All the FishBack on Earth Arthur Dent is ready to believe that the past eight years were all just a figment of his stressedout imagination But a giftwrapped fishbowl with a cryptic inscription conspires to thrust him back to reality So to speakMostly HarmlessJust when Arthur Dent makes the terrible mistake of starting to enjoy life all hell breaks loose Can he save the Earth from total obliteration Can he save the Guide from a hostile alien takeover Can he save his daughter from herselfAlso includes the short story Young Zaphod Plays It Safe,167705,81013,32283,8665,4360,294026
